"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",2.26319284543937,11.9115412917861,11.9115412917861
"Dim.2",1.86772444783404,9.83012867281071,21.7416699645968
"Dim.3",1.68419142108596,8.86416537413664,30.6058353387335
"Dim.4",1.41176930962033,7.43036478747541,38.0362001262089
"Dim.5",1.12793687010592,5.93650984266273,43.9727099688716
"Dim.6",1.06733771811919,5.61756693746942,49.590276906341
"Dim.7",1.04315816865445,5.4903061508129,55.080583057154
"Dim.8",0.995583034909498,5.23991071004998,60.3204937672039
"Dim.9",0.952291993486645,5.01206312361392,65.3325568908178
"Dim.10",0.944710244751138,4.97215918290072,70.3047160737186
